hmid,cleaned_hm,predicted_output
88974,I got the final clearance to close on selling my house!,achievement
88975,I was in a barbecue party with my friends.,bonding
88976,"It was the day I called off my wedding and I finally got back my freedom, for months I have been so scared that I will humiliate my family if I told them I didn't want to marry my fiance anymore but the response I got overwhelmed me of how much family and friends love me. I was overjoyed and I have never felt alone, from that moment I knew that too shall pass.",affection
88977,I got a raise at work.,achievement
88978,I have donated a little amount to a disabled person I met on the way. I could see plenty of thanks on his eyes while receiving the amount. It made my day.,achievement
88979,We had a family reunion in which the whole family got together and caught up with each other's lives.,affection
88980,I had a rejection overturned on Mturk.,achievement
88981,i did sex my neighbor ,affection
88982,My daughter finally made the honor roll. She has been struggling all year with this and I am so proud of her for doing this,affection
88983,"I went on a date with a new guy, and it went really well.",affection
88984,I felt good enough to go to gym yesterday.,achievement
88985,i met my dad and mom on today two months later now,affection
88986,Watched the new Adventure Time miniseries.,affection
88987,during my daily prayer in masjid in early morning gives me inner peace,achievement
88988,I saved $20 on an online order due to an error on their part.,achievement
88989,MY HAPPINESS EVENT IS MY BIRTHDAY AT LAST MONTH. MY GIRLFRIEND GIVES A BIKE AS  GIFT TO ME. THEN SHE SAID WISHES TO ME. I REALLY HAPPY FOR THE GIFT.,affection
88990,"I went to visit my brother who I have not seen in a long time, We caught up and spent some quality time with one another",affection
88991,"I found a user on Youtube, H3H3, that is really funny and I enjoy their videos a lot.",affection
88992,"I got on the wrong bus, and the bus driver was kind enough to offer me a transfer pass to get on the correct one.",achievement
88993,"I've been trying to find a new job, and I went to an interview that shows real promise of hiring me.",achievement
88994,"IN THE MONTH OF MARCH MY SON'S BIRTHDAY PARTY HELD IN MY HOME, IN THAT PARTY MY SON'S FRIENDS WERE GIVE ME A SURPRISE GIFT. I am PROUD AND FEEL HAPPY.",affection
88995,"I month ago, when I finished my PhD thesis.",achievement
88996,It was a thrill watching my 7 year-old son's first at bat in teeball this last week.,affection
88997,The Golden State Warriors beat Utah Jazz 4 to 0 in their series.,achievement
88998,I bought a super cute new pair of sandals. ,achievement
88999,The event that made me happy was when I was able to quit a job that I did not enjoy.,achievement
89000,I was able to go outside and pass football with my boys.,achievement
89001,In the last few weeks my job situation has changed drastically for the better.,achievement
89002,"Mi went to my best friends wedding.

",bonding
89003,My son's big present for his birthday came in the mail yesterday! ,affection
89004,We decided to move to Texas to give ourselves a better life. ,affection
89005,I went on an hour walk and just enjoyed the weather.,affection
89006,I got a job that I really wanted. ,achievement
89007,2 Weeks ago i went to swimming pool with my friends. we enjoyed lot in swimming pool.,bonding
89008,I went on a date with a girl I met recently. It didn't work out but it was a good experience. ,affection
89009,My team won the final game to make it into the finals of UEFA Champion's League,achievement
89010,My niece picked flowers for me,affection
89011,On a cold rainy Sunday I woke up normal time but decided to sleep in for a couple of hours. ,affection
89012,I watched an episode of Brooklyn Nine Nine during my lunch break.,affection
89013,While driving my wife commented on our similar sense of humor where we talked about farting a lot. ,affection
89014,My husband and I agreed last night that we would adopt a new puppy for our adult dog and family to enjoy.,affection
89015,I was able to take some pretty adorable pictures for my daughter's 5th birthday.,affection
89016,I met a new friend at a dog park.,bonding
89017,Reconnecting with an old friend.,bonding
89018,"I am very happy when I'm able to paint. Painting and being highly expressive and creative are the highest if happiness for me. I wish I could go out in nature so I could be happy in other ways, but painting helps me feel like I'm creating something worthwhile instead of mundane. ",achievement
89019,Connecting with old friends,bonding
89020,"My mother surprised me with a pair of leggings and a crop top (though I've never worn either) in a print she thought I would enjoy, even though she dislikes the theme, and I appreciate her thoughtfulness.",achievement
89021,Taking mt dogs to my parents so they could run around freely,affection
89022,My favorite sports team won a playoff game in a blowout.,achievement
89023,I got engaged to my fiance :),affection
89024,I received accolades for a job well done on a project I've been working on at work. ,achievement
89025,I got a new mothers day charm for my pandora braclet. Its so pretty!,achievement
89026,The small leak in my shower was finally fixed.,achievement
89027,My best friend got married to her longtime companion.,bonding
89028,I watched one of my favorite movies (Sixteen Candles) from start to finish that I haven't watched for years.,affection
89029,I'm getting to go home to my best friend's wedding. ,affection
89030,Yesterday I spent two hours on the phone with my friend talking about life and it made me really happy.,affection
89031,I saw a play with my two daughters.,affection
89032,A friend fixed my car for free.,bonding
89033,My wife and I had lunch with some good friends and all of our kids,affection
89034,"We had pizza for dinner last night :) It might not seem like much, but it was a treat to reward our hard work. ",affection
89035,Hearing the good news of my sister in-laws wedding!,affection
89036,My family and I all attended my wedding venue food tasting together. We went out for drinks afterwards. I love being with family,affection
89037,I made bread for the first time and it turned out really well.,achievement
89038,I got an unexpected bonus at work,achievement
89039,Some investments had made in a few different stocks had some very good returns in just a short time frame.,achievement
89040,I got a new OLED Ultra HD television set for my living room a few weeks ago.,achievement
89041,Captured my neighbors new dog and returned her home.,affection
89042,"I found out that a person I work with, that I do not like, is leaving our organization. ",achievement
89043,I found a dollar on the ground the other day. ,achievement
89044,My girlfriend surprised me by bringing me a full bucket of movie theater popcorn.,affection
89045,We went for good barbecue for dinner.,affection
89046,"I was really happy when my son started giggling over a book that we were reading. It was a book about tickling, and he actually grabbed my hand to make me tickle him, while saying ""tickle tickle tickle.""",affection
89047,My mother in law is visiting and did all of the dishes!,affection
89048,I saw on the news that Trump's approval ratings have fallen to 36 percent which means that the republicans in congress will throw him under the bus,achievement
89049,My grandfather has recovered from his long illness.,affection
89050,"I learned I had a textbook lying around, unseen, that I could trade-in to Amazon and get $40 worth of gift cards. ",achievement
89051,My youngest daughter finished her first year of college and made the Dean's List!,affection
89052,A happy moment  for  me was  when  I received my income tax  refund for  2016. The  refund  was quite  large and enabled  me to pay  off several credit  card balances thus reducing  my overall debt. ,achievement
89053,I got to meet up with an old friend.,bonding
89054,I was happy when I watched my kid dance to music in her own silly way.,affection
89055,I got done with work an hour earlier than I planned.,achievement
89056,I watched Guardians of the Galaxy with my nephew and brother last night.,affection
89057,"My uncle bought tickets for me, him, and my two cousins to go see a Yankees game in July.",affection
89058,"I took a really long, relaxing bath last night.. ",affection
89059,Helping my shut in neighbor by cleaning her carport and rearranging things she had stored there.,achievement
89060,"FOUND OUT I DO NOT NEED TO MAKE AN APPOINTMENT I CAN JUST WALK IN, AND THAT IT IS A QUICK WALK IN, ONLY TAKES FIVE MINUTES.",achievement
89061,"I was very happy when my girlfriend flew from California to Washington, DC to spend my birthday with me. ",affection
89062,Getting mcdonalds breakfast and coffee,affection
89063,"When I pick up my son from school, most of the older kids are looking very serious and focused, but my 4th grader comes out skipping, waving, smiling, and collecting a rock on the ground before he makes it to my car which just showed me how he is happy and carefree.",affection
89064,Got takeout sushi for dinner last night,bonding
89065,I got someone to cover a shift,achievement
89066,My cat is currently pushing around a piece of paper with his head. ,affection
89067,My daughter hit the ball very well in her softball game a few days ago.,achievement
89068,I got a great hair cut.,achievement
89069,I received an award at work related to my teaching abilities.,achievement
89070,One event that made me happy was going to my favorite restaurant with my family.,affection
89071,I got a new ipod.,achievement
89072,I had some time yesterday to lay in a hammock with my dog.  It was very pleasant and relaxing.,affection
89073,My son finally figured out how to crawl correctly and not just scoot on his stomach.,affection
89074,I learned how to play a new song on the piano.,achievement
89075,My son being so sensitive to my feelings last night when I debating feminism with my sexist asshole husband pleased me.,affection
89076,I got a new phone for my birthday.,achievement
89077,I got a got deal on my soda.,achievement
89078,All 3 of my children were named student of the month.,achievement
89079,"I have been working very hard to help some families who do not speak English.  It has been a big challenge because I also do not speak their language and communication is very difficult.  I'm not always certain they understand my broken usage of their language.  Two months ago, after working with these families for about a month, I had to send a note home with a form that needed signed in order to continue services.  I used an online translation service to help me write the note and sent the letters home.  All three letters returned the following day with the appropriate signatures,  I was so excited at how quickly the families returned the letters as many of my English-speaking families take multiple reminders to get the same letter returned.  I reminded me how appreciative the families are of my hard work and how much I enjoy working with them.",affection
89080,My youngest son got marked very high in his kindergarten testing in terms of knowing everything.  ,affection
89081,I slept until 9 am this morning.,affection
89082,"Recently my mom made a crawfish dish for dinner. I never thought I liked crawfish, but it turns out I do.  This made me happy because it opened the door to new cuisines. ",affection
89083,I had sex with my girlfriend.,affection
89084,I successfully climbed to the top of the Old Man of Storr.,affection
89085,"I went in for a job interview recently for my dream job.  The interview went well, I did not vomit and actually was very calm and had a good time even if I forgot a lot of what I wanted to say.  I was offered the job and now will soon be working in my dream job.",achievement
89086,The birth of my twin son this past April.,affection
89087,"Today at school, my students were learning a dance and were really excited about it. Their excitement made me happy because they care about what they do.",affection
89088,"The first event that made me happy in the past three months, was the birth of my 2nd child on March 23; his name is Oliver Michael.",affection
89089,I discovered that one of the blueberry plants I planted a year ago is loaded with blueberries.,affection
89090,"A friend at work got a promotion he richly deserved, one that he has been working toward for three years.",achievement
89091,I got married one month ago. ,achievement
89092,"I got The Legend of Zelda: Breath of the Wild for Wii U. It was a game I looked forward to for years, and when I got it, I felt thrilled to play it!",achievement
89093,I have bought an air conditioner and a washing machine 10 days ago which made me happy.I are so excited to use the appliances,achievement
89094,I finally bought tickets for me and my wife to visit barcelona. Ive always wanted to visit and now am looking forward to planning for this trip.,affection
89095,"I decided to take part in decorating for my office's Beach Day, and actually got compliments on my desk decor. ",affection
89096,I got my laptop repaired,achievement
89097,I was able to try a new recipe for dinner and my wife actually really enjoyed it.,affection
89098,The latest big even that made me happy was my little brother moved to Florida yesterday! ,affection
89099,Last week I got a new Boxer puppy who is very playful and affectionate.,achievement
89100,I bought an electronic that was hard to find in stores,achievement
89101,Being done with the semester at school and spending summer at home.,affection
89102,A lady standing behind me in line paid for my items after i had realized i forgot my debit card.,achievement
89103,I found $20 in an old jacket I'd forgotten about in the basement.,achievement
89104,I got into Harvard and will be studying math.,achievement
89105,Attending a concert with the family.,affection
89106,The day when my husband and I took our son to a local egg hunt for children at a local church.,affection
89107,I saw Kinky Boots last night.,affection
89108,When I got to work my team had already started a part of a project I thought they would be behind on. ,achievement
89109,I had 3 days off in a row.,affection
89110,I went out to eat with my boyfriend and the pizza we ordered was delicious!,affection
89111,My son bought an english bulldog puppy.,affection
89112,Pulling off my daughter's first birthday party successfully made me happy because I have never planned a large event before. ,affection
89113,I was last happy when I went on a girls trip to LA. Having two kids gets to be a lot of work and my friends and I planned a vacation for the weekend. It was nice to get away and be with adults and do adult things. ,affection
89114,My first child was born to me in the past 3 months and it was the most emotinally happy moment I've had in my life.  To know that I had waited 40 weeks to meet this precious being! He completely changed my life in an instant.  ,affection
89115,"Spring arrived and the beautiful, sunny weather made me feel refreshed and energized.",affection
89116,I spent the day at my sister's house and babysat my nieces.,affection
89117,I took a week off from work and went on a road trip.,affection
89118,My dog was very cute this morning and full of love and cuddles. ,affection
89119,I bought a new cellphone.,achievement
89120,I was happy that my father-in-law was released with a good bill of health from the hospital after major cancer surgery,achievement
89121,"college friends
bike trip",bonding
89122,I traded in my Jeep and got a great deal on a one year old pickup truck!,achievement
89123,Just this past week I got to see some of my favorite artists perform live at a festival in Miami; I was overjoyed to actually see them in person. ,affection
89124,Met my fiancA(c).,bonding
89125,I met an old friend.,bonding
89126,I rescued a dog and am now taking care of him. He's been with us for about two weeks now and his unconditional love and goofiness really adds to my day. ,affection
89127,My daughter arrived last night for a visit!,affection
89128, I began feeling happy about a month ago when the weather became warmer and flowers started blooming.,achievement
89129,The family adopted a dog from a shelter.,affection
89130,We finalized plans to move to Colorado.,achievement
89131,Coming home to see that my wife bought some cookies for us to share. ,affection
89132,Imade a huge sale at work and made a $650 commission.,achievement
89133,My wife and I went out to dinner by ourselves.,affection
89134,When I won 100$ on a scratch card. I didn't expect it.,achievement
89135,Going to a Lil Dicky concert.,affection
89136,I FaceTimed with my newborn nephew. ,affection
89137,Last month my Wife gift me a multimedia mobile this is fantastic gift for me and its happiest event for me.,affection
89138,Got to work early and was able to catch up and get some extra work done.,achievement
89139,I celebrated my wedding anniversary.,affection
89140,I went hot tubbing with friends.,bonding
89141,I won my soccer game last night.,leisure
89142,A coworker noticed that I wasn't feeling well this morning and proposed a solution.,affection
89143,"A few days ago, I found the perfect gift for mom for Mother's Day -- a complete biography and compendium of Claude Monet's paintings. She is a big fan of Impressionism.",affection
89144,Went on a nice long run in the train last night. Felt super refreshed.,affection
89145,I went for a trip with friends.,affection
89146,I finally got some answers from my doctor regarding stomach issues.,achievement
89147,The weather outside has become much cooler. ,achievement
89148,I got a B on a chemistry exam for a class that has been extremely challenging.,achievement
89149,I had great half price wings with my mates.,bonding
89150,When I got called to work on a localization for a game.,achievement
89151,I talked to my ex-husband out of the blue and we had an exceptionally great conversation which made me happy because for the time we were married to our divorce things were very complicated and we did not communicate effectively. We did more arguing then having a general conversation.,affection
89152,"Our homes are an extension of who we are: what we do within the walls of our abodes shapes our mood, affects our productivity, and influences our outlook on life. Scientific studies have shown that we can have an impact on our happiness by adjusting the tiny little habits and routines that constitute our daily lives -- we are, in fact, in control of our outlook on life.",enjoy_the_moment
89153,My roommate came home yesterday and brought donuts from her office,affection
89154,I got a good night's sleep last night.,affection
89155,The event that made me most happy was when i got my first bike ,achievement
89156,I am a regular shopper at Aldi- I thought they had discontinued one of my favorite products. I went shopping just after a shipment of this product arrived and was able to stock up! ,achievement
89157,I got my degree,achievement
89158,I moved into a new house. ,achievement
89159,I found out I get to go to a training instead of work in a few weeks. ,achievement
89160,When I adopted my dog from the shelter.  It was a great decision.,affection
89161,I laid in bed with my daughter last night and told her a story while I rubbed her back so she could fall asleep.,affection
89162,I was happy when I went to see my daughter in her spring play Seusical.  She played Maisie and was wonderful.  It made me happy to watch her.,affection
89163,I went shopping and found a shirt that I love. ,affection
89164,"I was able to connect the headless client to my gaming server, which is a significant technical achievement and will garner much better performance.",achievement
89165,Yesterday I played in a Mah Jongg tournament and had a great time.,achievement
89166,Successfully completing a custom art piece for a very vocally pleased customer last month made me happy. ,achievement
89167,I was named team lead to a very large team project at work last week.,achievement
89168,I was able to quit my job. It took a lot of stress off my shoulders and actually decreased my financial woes. Now I'm able to focus on school and make money as needed on the side.,achievement
89169,I realized how easy it is to work from home.  ,achievement
89170,"The happiest moment within the last 3 months is when I adopted my cat Tortellini. She's my first cat, so there was a lot of excitement and intrigue involved with adapting to life with a feline.",affection
89171,Gave birth to a healthy baby girl.,affection
89172,I have started running more often and am feeling better about my run time and being less tired.,achievement
89173,I heard my favorite Billy Joel song on the way to work this morning.,achievement
89174,made love to my wife,affection
89175,I went to a friend's house last night and we played video games for hours.,bonding
89176,I found a top in my closet last week that I thought I lost. ,achievement
89177,My wife and I found land that we really liked and plan to buy. ,affection
89178,A family member of mine collected the trash and put the bin on the curb before I woke up so I did not have to do it.,affection
89179,Looking at a new house with my wife.,achievement
89180,I made my first 1000 on mechanical turk last week.,achievement
89181,I felt the rain and a cool breeze as I stepped out of my car. It's been hot lately.,affection
89182,Something recent that made me happy was my girlfriend moving in with me. ,affection
89183,for my wife's 30th b-day I rented a bounce house. We had it the whole weekend. It was so fun to have drinks and then jump in a bounce house. It was a fun weekend. It made me happy.,affection
89184,Going to my grandmother's birthday party with my whole family to eat dinner.,affection
89185,One event that made me happy in the past 3 months was being able to spend time with my girlfriend all night to show her how much she means to me. ,affection
89186,"Within the past 3 months, I was able to retire from my job after 30 years of employment.",achievement
89187,when i was released from jail. i was locked up for almost a year. i was o happy i cried.,affection
89188,"happy
Weare starting a new series on the Buffer blog today with great tips and insights from Joel, CEO here at Buffer. Joel will share his ideas and insights about lifehacking, building a business and working on company culture. Here is #1:
Today itas a little over three years since I first had the idea for Buffer, and with the year and a half before that which I worked on my previous startup, Iave started to notice a few patterns amongst the ups and downs that come with building a startup.
One of the most important things Iave learned during this time is that I perform the best when Iam happy. It really does change everything. If Iam happy then Iam more productive when hacking code, Iam better at answering support, and I find it easier to stay focused.
Iave found that there are a few key habits which, for me, act as great rituals for enabling me to be consistently happy. They also act as anchor activities to bring my happiness level back up quickly whenever I have a period where Iam not feeling 100%. So here are 6 of the things I do:
1. Wake up early
One of the things I love about running my own startup is that I have complete freedom to experiment with my daily routine.
Through experimentation, Iave found that waking up early every day makes me feel most invigorated and happy. It gives me a great start to the day, and this almost always leads to a great rest of the day. Over time, Iave found I crave that early morning feeling, a time I can do some great work and be super focused. Gretchen Rubin from The Happiness Project mentioned something similar a recent article:
aI get up at 6:00 a.m. every day, even on weekends and vacation, because I love it.a
Waking up early every day requires discipline, especially about what time I sleep. Right now, I have a sleep ritual of disengaging from the day at 9:30pm and sleeping at 10pm. I now love all aspects of this ritual and with it in place I awake at 6am feeling fresh.
The power with your mornings is that you will have about 25,000 of them in your life, so thereas a lot of room to experiment.
2. Exercise daily
aWe found that people who are more physically active have more pleasant-activated feelings than people who are less activea a Amanda Hyde
In the last three years, Iave gone from dabbling with exercise to it becoming something I do every weekday without fail. At first I had no idea what to do at the gym, so I asked my brother, whoas a personal trainer. I then went a few times with a good friend and soon I was hooked.
Over time, I developed this into a daily ritual so strong that I feel a pull towards it, and by doing it consistently I feel fantastic and can more easily take on other challenges. I recently discovered that exercise is a keystone habit which paves the way for growth in all other areas. Iave also found that it helps me to get high quality sleep each night.
3. Have a habit of disengagement
aThe richest, happiest and most productive lives are characterized by the ability to fully engage in the challenge at hand, but also to disengage periodically and seek renewal a Loehr and Schwarz, The Power of Full Engagement
As I mentioned earlier, a key way I am able to wake up at 6am is through my ritual of disengaging in the evening. I go for a walk at 9:30pm, along a route which Iave done many times before. Since the route is already decided and is the same every time, I am simply walking and doing nothing else. This prompts reflection and relaxation.",affection
89189,Finishing my last final test for my Master's degree.,achievement
89190,Received a pay raise due to a promotion I earned at work.,achievement
89191,My son just made the 12 year old All Star baseball team.,affection
89192,my daughter has learned to read rather quickly and the other day she sat me down and read me a book.,affection
89193,I had a really good burrito for breakfast again today.  ,affection
89194,An event that made me happy in the past 3 months is seeing my brother get married.,affection
89195,I worked up the nerve to stand up for myself to an employer.,achievement
89196,I got a good deal on a trading card.,achievement
89197,"I was happy when portillos brought back the mint chocolate chip shake, it should be year round!",affection
89198,"I can remember many happy events of my life and out of those, I would like to talk about the event that I can still remember vividly regarding my success in the board exam",achievement
89199,I won the game in mario kart with my girlfriend.,affection
89200,I took a trip to the beach with my wife and some friends.,affection
89201,I went and go donuts and they where fresh. Like just out of the over fresh. So they where still slightly warm and the chocolate on top was still melty.,affection
89202,i was happy a couple months ago when i moved back to my hometown. ,achievement
89203,i was able to get a good nights rest.,achievement
89204,I bought a new shirt for myself.,achievement
89205,"After a long period it rained heavily by making the atmosphere cool, it made we people happy",affection
89206,Snuggling with my three year old son this morning.  I let him sleep in bed with us and I don't normally do that.  He isn't a particularly snugly kid so it was a rare treat that he wanted to cuddle up next to me. ,affection
89207,Things just managed to work out between me and my girlfriend.,affection
89208,I went to a baseball game on my birthday and our team won on a last inning walk off homerun.,bonding
89209,I purchased a pair of leggings that were beautiful and made me feel thinner.,achievement
89210,I taught my dog how to open the refrigerator by pulling on a towel that is tied around the door.,affection
89211,Last month we celebrated our wedding anniversary and felt very happy to receive a silk saree as my wedding gift,affection
89212,I was happy when my baby learned to take a few steps.,affection
89213,I woke up this morning in an excellent mood.,achievement
89214,I bought  a cabinet for our dining room.,achievement
89215,My girlfriend started taking a medication that's been the first effective one to help alleviate her depression symptoms. I felt so ecstatic the day I realized.,affection
89216,I finally found relief from my awful vertigo.,achievement
89217,I got a new tv.,achievement
89218,"I didn't wake up 8 times during the night like I usually do, but instead finally got a little sleep last night.",achievement
89219,"I finally received a new bed that I had saved for months to purchase, and finally woke up with no back pain for the first time in three years.",achievement
89220,"A few days ago, I rejoined a group chat with a group of friends that I had left after going through a bout of depression.  The people I knew were glad to see me.",affection
89221,I was recruited by a company for a new position this morning which will double my salary!,achievement
89222,I was able to walk again after surgery,affection
89223,A woman emailed me to tell me she loves my writing and is inspired by the things that I write. ,affection
89224,I watched my husband play our favorite video game for hours over the weekend.,affection
89225,I attended my son's college graduation where he received a degree in Criminal Justice.,achievement
89226,Our family recently attended a family reunion where we got to meet several new family members as well as be reunited with an uncle who just turned 100 years old.,affection
89227,Having a lady at the gym smile at me multiple times--makes me happy knowing I'm a good looking dude.,affection
89228,TODAY IS MY CUISINE BIRTHDAY I SO MUCH LOVED HIM THAT WILL MAKE SO HAPPY,affection
89229,My girlfriend made and gave me an Easter basket on Easter this year.,affection
89230,I was reunited with my golden retrievers after not coming home from school for an entire semester.,affection
89231,"I got a bonus at work the other day, an extra $50 in my pocket!",achievement
89232,"I listened to my favorite podcast, Watch What Crappens. ",leisure
89233,I made the decision to drop out of my PhD program and pursue a full-time job instead.,achievement
89234,I and my old close friend met after a long time and went for movie and share our old memories made me very happy.,affection
89235,My significant other gave me a thousand dollars,achievement
89236,Something that made me happy was getting to watch a favorite television show with my family.,affection
89237,"It's the same everyday. That moment when we all wake up and my husband reaches over to spoon me and then my sweet two-year old climbs in to be cuddled too. That is my happiest moment, holding the people I love the most oh, so close.",affection
89238,"I watched a talk show that reunited some of my favorite entertainers from The Daily Show, including Jon Stewart, Samantha Bee, and Stephen Colbert.",leisure
89239,My parents gave me some extra money to spend.,affection
89240,The day my job gave me a bonus for being a competent worker.,achievement
89241,"Several weeks ago I was able to find out the gender of my first child that is due in August. I was so nervous leading up to the day. Upon finding out that I was having a boy, I was absolutely overjoyed.",achievement
89242,participated in a orgy ,achievement
89243,Getting a hug from my niece.,affection
89244,I got a new pair of shoes.,achievement
89245,I got to attend my nephews baseball and watch him hit a home run. It was the only game i've been able to go to this season and it was a really special moment for him. I was so glad I was there.,achievement
89246,I got a $50 tip at work last night,affection
89247,My son was born,affection
89248,"Last night I made a shake with milk, Kern's mango juice, and Hawaiian Punch. Delicious!",affection
89249,My got engaged to my love with my parents support which made me happy a lot,affection
89250,"My son did one project for research purpose, that was successfully completed and got very good welcome and appreciation made very happy.",achievement
89251,My wife and I recently found out the sex of our baby and that everything is going well so far with her pregnancy.,affection
89252,I got a full night's sleep!,enjoy_the_moment
89253,I completed my first novel.,achievement
89254,I finished my last final for the semester.,achievement
89255,Attending the graduation of a local law enforcement for our county by invitation from a professor.,affection
89256,I was hired for a part time job which will help supplement my income and help me in making ends meet.,achievement
89257,Went on a first date with the girl I had been crushing on for months.,affection
89258,I bought a new car two months ago that  I love. ,achievement
89259,I was able to find Lamb for dinner tonight with my grandparents.,achievement
89260,I won $500.00 dollars with a lottery scratch off ticket.,achievement
89261,I had lasagna for lunch at an Italian eatery with a friend I had not seen since they moved away from town. ,bonding
89262,I saw some animals at a zoo.,achievement
89263,My family went on a 3 day pleasure trip a hill station our state.,affection
89264,I went to the grocery store and bought ice cream.,achievement
89265,I was able to plant 6 large pepper and tomato plants in my garden before it rained. It was good timing.,achievement
89266,Seeing a book cover reveal and prologue release for a book I'm anticipating. ,achievement
89267,"I worked really hard on an art piece and it actually sold. And I was so happy, because of all of my hard work was not only appreciated and I actually wasn't broke for a change. ",achievement
89268,"My son started crawling.  It made me very happy, for about a week.  He has been trying so hard to crawl for probably 20 days, and just finally ""got it"".",achievement
89269,I bought a new bike that I have really enjoyed riding on a near daily basis.,achievement
89270,Spending time with my dogs.,affection
89271,"My son was released fro the hospital.  We had been in there for 5 days this time. So it was wonderful to be back home with him, my husband and ther children",affection
89272,last week my girlfriend was angry with me. because of she did not give importance to me. that was a big problem between us.,affection
89273,My son can now follow simple directions.,affection
89274,I went to visit my sister.,affection
89275,I got a job!,achievement
89276,"holiday at jakarta for a full week,never been happier",achievement
89277,I found out that my cousin just opened her own bbq shop,affection
89278,I lost five pounds of body fat. ,achievement
89279,I played a game of basketball.,bonding
89280,Kentucky basketball landed their 6th five star recruit a week ago.,achievement
89281,I got a bonus at work that I wasn't expecting. ,achievement
89282,I got to pet a baby turtle.,affection
89283,"I managed to get ranked up in Hearthstone, something I had been trying for, for a week.",achievement
89284,I got to see Guardians of the Galaxy with my girlfriend last weekend and it really was a fantastic film.  We had a lot of fun together.,affection
89285,I watched baseball with my dad.,affection
89286,My son and I played catch for about 30 min last week. ,affection
89287,I got level 70 in hardcore diablo 3,achievement
89288,"My brother let me stay at his place in Vegas for memorial day weekend. He was telling me no since he's about to go to a different state for the weekend, but he decided to say home. That made me happy as I can celebrate in Vegas that weekend.",affection
89289,I ate mcdonalds for lunch!,affection
89290,"An event that made me happy was going to a recent basketball game. Most of the time sports make me semi happy, but this was a playoff game. The crowd, the atmosphere, everything involved is what most likely lead to these emotions. ",achievement
89291,"I found 10 dollars in my old purse, and treated myself to lunch!",affection
89292,I got to craft with my friend Phyllis.,bonding
89293,"My friend, who lives out of town, called me to tell me how he'd passed his collage classes. ",affection
89294,"In the past three months, my grandmother recovered from her long time illness",achievement
89295,Shopping for new furniture for my room.,affection
89296,The tavern near my house added a veggie burger to their menu.,enjoy_the_moment
89297,"I recently moved to a new state and I was fortunate enough to get a co-worker to trade shifts with me so that I could explore some of the waterfalls in the area on my day off, which I love to do.",achievement
89298,teaching my kid how to ride her first bike,affection
89299,"After a long week of work, my boyfriend surprised me with an amazing dinner when I got home.",affection
89300,I took my kids out to play,affection
89301,"Just last week I spent an enjoyable, warm day in the sun with my family.",affection
89302,Made a lot of money working yesterday with minimal effort I can go out this weekend!,achievement
89303,An event that made me happy was when I went on a hiking trip with my girlfriend. We stayed the night at a campsite near the mountains and we got up early in the morning to go to the top of the cliffs and watch the sunrise as well as talk and hangout. ,affection
89304,I went outside and watered some flowers in my yard.,affection
89305,We went to my favorite bakery and got macarons.,affection
89306,I got promoted at work. I go the y dream level. I have worked there 17 years and reached my dream job. ,achievement
89307,I heard back from my aunt that she received a promotion.,achievement
89308,I saw the cutest looking dog at the park.,affection
